"","rho","p_value"
"rho.1",-0.437703493082355,2.16838101964217e-06
"rho.2",-0.422074287753979,5.37093732426762e-06
"rho.3",-0.388072072687245,3.32643530640218e-05
"rho.4",-0.36856057466072,8.68318455792306e-05
"rho.5",-0.390777768702642,2.89790276554886e-05
"rho.6",-0.346948351382803,0.000234529479895916
"rho.7",-0.435193102589196,2.51614348862658e-06
"rho.8",-0.400209596361949,1.77483893954498e-05
"rho.9",-0.355003513287797,0.000163287747596636
"rho.10",-0.377592264176904,5.61147864271673e-05
"rho.11",-0.378273451730077,5.42687158555423e-05
"rho.12",-0.377268342822948,5.70130581858565e-05
"rho.13",-0.422002834514135,5.39270054751867e-06
"rho.14",-0.286756142138863,0.00262250328831903
"rho.15",-0.388367412745264,3.27692615837817e-05
"rho.16",-0.343432851982516,0.000273850745491454
"rho.17",-0.357737790599131,0.000144084535356335
"rho.18",-0.471805742684869,2.54429042567826e-07
"rho.19",-0.448264281931185,1.14460932252049e-06
"rho.20",-0.407716950094812,1.18850879687609e-05
"rho.21",-0.387143180569283,3.48675321549789e-05
"rho.22",-0.420959617212424,5.72007315547346e-06
"rho.23",-0.336649557746732,0.000367441906135574
"rho.24",-0.345028641005682,0.000255302330007055
"rho.25",-0.346405306759995,0.000240241210986397
"rho.26",-0.385776041913616,3.73590899303805e-05
"rho.27",-0.408655369311419,1.12963066596362e-05
"rho.28",-0.383137035588739,4.26465168074456e-05
"rho.29",-0.461754653613587,4.90219967470635e-07
"rho.30",-0.51026663991782,1.68812689067544e-08
"rho.31",-0.455042812617646,7.50907397725591e-07
"rho.32",-0.445701492395474,1.33921778385515e-06
"rho.33",-0.285360422187259,0.00275752905861703
"rho.34",-0.412899691758107,8.95990403714948e-06
"rho.35",-0.380512319911831,4.85929922461224e-05
"rho.36",-0.424579914697815,4.658128929158e-06
"rho.37",-0.451284372201892,9.49683741581486e-07
"rho.38",-0.462245299193844,4.75004183814254e-07
"rho.39",-0.449874361602319,1.0364047554976e-06
"rho.40",-0.358395160405689,0.000139791465128993
"rho.41",-0.345428779148804,0.000250837115045522
"rho.42",-0.426494861525613,4.17461736328589e-06
"rho.43",-0.486744233361427,9.22695187094316e-08
"rho.44",-0.436369699271948,2.34704974224411e-06
"rho.45",-0.447321099165254,1.21288400014244e-06
"rho.46",-0.462431077617437,4.69360913331506e-07
"rho.47",-0.489569018109897,7.57490974021223e-08
"rho.48",-0.372604828035847,7.15268056886403e-05
"rho.49",-0.410741803914842,1.00841165467368e-05
"rho.50",-0.318409927389416,0.000784056166882691
"rho.51",-0.488097081369126,8.39692522003116e-08
"rho.52",-0.368227126208118,8.82211236475496e-05
"rho.53",-0.406006835887897,1.30329770730865e-05
"rho.54",-0.346114730251299,0.000243350057491716
"rho.55",-0.367550702204269,9.11031832642631e-05
"rho.56",-0.364549666130853,0.000104978693799181
"rho.57",-0.361724881382384,0.000119812303703064
"rho.58",-0.396022436507136,2.21046501848105e-05
"rho.59",-0.307348965861683,0.00121392033812322
"rho.60",-0.347400888568477,0.000229865929609929
"rho.61",-0.382522537726087,4.39743220777738e-05
"rho.62",-0.463764871427844,4.30676918508656e-07
"rho.63",-0.319448381141804,0.000751882900524786
"rho.64",-0.373714735028078,6.77895799370063e-05
"rho.65",-0.314341856267674,0.000922595875332541
"rho.66",-0.41959724210608,6.17588696258879e-06
"rho.67",-0.437222374600744,2.23129088691449e-06
"rho.68",-0.27542842184905,0.00391349969912231
"rho.69",-0.431115504368809,3.19573421609608e-06
"rho.70",-0.451784544880795,9.20610609645899e-07
"rho.71",-0.501525526910331,3.22128988670691e-08
"rho.72",-0.452356170799541,8.88418620357029e-07
"rho.73",-0.422379154910643,5.27900869966186e-06
"rho.74",-0.395498446081619,2.27155150522303e-05
"rho.75",-0.326908099381438,0.000554011733663609
"rho.76",-0.376882495327795,5.81005744063188e-05
"rho.77",-0.376672899157588,5.86994100761638e-05
"rho.78",-0.387876767165007,3.35955898714874e-05
"rho.79",-0.449626657037529,1.05239511172364e-06
"rho.80",-0.402115016091102,1.60455079335302e-05
"rho.81",-0.368512939167491,8.70290586350496e-05
"rho.82",-0.315542270697041,0.000879553662567208
"rho.83",-0.355170237514098,0.000162052020170479
"rho.84",-0.4543044624726,7.86537032814596e-07
"rho.85",-0.394083671932723,2.44448889825797e-05
"rho.86",-0.441714401612222,1.70548080943064e-06
"rho.87",-0.349563539961065,0.000208740555740601
"rho.88",-0.394036036439494,2.45052114599872e-05
"rho.89",-0.38454228263899,3.97496494398865e-05
"rho.90",-0.457967631901896,6.24264951222445e-07
"rho.91",-0.408655369311419,1.12963066596362e-05
"rho.92",-0.367703135782601,9.04461567336208e-05
"rho.93",-0.452680092153497,8.70653737656044e-07
"rho.94",-0.33867882975828,0.000336742319310805
"rho.95",-0.391306522677482,2.82044508669418e-05
"rho.96",-0.43237308139005,2.96954753830191e-06
"rho.97",-0.398952019340708,1.89637375966164e-05
"rho.98",-0.338054804796982,0.000345921154776896
"rho.99",-0.457343606940598,6.49450925771156e-07
"rho.100",-0.401729168595949,1.63774298496078e-05
"rho.101",-0.316623596393335,0.000842360867554643
"rho.102",-0.441890652937169,1.68746007209734e-06
"rho.103",-0.376225125521237,5.99980938427317e-05
"rho.104",-0.338502578433333,0.000339311786548901
"rho.105",-0.403553607986612,1.4862855070653e-05
"rho.106",-0.471172190624925,2.65332241477263e-07
"rho.107",-0.443143466409087,1.56446866423788e-06
"rho.108",-0.411084779466089,9.89697351037018e-06
"rho.109",-0.397827821700508,2.01159145725601e-05
"rho.110",-0.399452192019611,1.84712908585196e-05
"rho.111",-0.406659442145132,1.25831441061058e-05
"rho.112",-0.456814852965759,6.71544199426324e-07
"rho.113",-0.39903776322852,1.88784520576372e-05
"rho.114",-0.387357540288813,3.44912747985111e-05
"rho.115",-0.403124888547553,1.52064423632368e-05
"rho.116",-0.371642591072625,7.49213715050139e-05
"rho.117",-0.435817127550494,2.42507698655488e-06
"rho.118",-0.336682902591992,0.000366917265640353
"rho.119",-0.410960927183694,9.96417253790108e-06
"rho.120",-0.410784675858748,1.00605428166333e-05
"rho.121",-0.381989020201925,4.51583916842586e-05
"rho.122",-0.447025759107236,1.23504500881819e-06
"rho.123",-0.289404675562386,0.00238254460543532
"rho.124",-0.38305605525025,4.28193284092817e-05
"rho.125",-0.400943182957673,1.70736189975889e-05
"rho.126",-0.358861988239332,0.000136815208504167
"rho.127",-0.417720403672864,6.86016461512126e-06
"rho.128",-0.391420847861231,2.80395456246009e-05
"rho.129",-0.383884912832432,4.10810878599216e-05
"rho.130",-0.490173988873903,7.25983898266291e-08
"rho.131",-0.413585642860602,8.62801179075036e-06
"rho.132",-0.342746900880021,0.00028220000813805
"rho.133",-0.379111836410904,5.20744841192246e-05
"rho.134",-0.377873313586954,5.5346127643683e-05
"rho.135",-0.448773981708733,1.10924690317002e-06
"rho.136",-0.393783568325381,2.48272577243754e-05
"rho.137",-0.42850507933987,3.71826628283326e-06
"rho.138",-0.414319229456326,8.28590375305621e-06
"rho.139",-0.362753808036126,0.00011419709877089
"rho.140",-0.379464339060797,5.11768922009923e-05
"rho.141",-0.415667313914702,7.69029422415256e-06
"rho.142",-0.416805802202871,7.21895070603274e-06
"rho.143",-0.270460039905283,0.0046408687552313
"rho.144",-0.342765955077313,0.00028196494423563
"rho.145",-0.337749937640318,0.000350488853797658
"rho.146",-0.464955758758564,3.98716854650147e-07
"rho.147",-0.397060890259524,2.0939287558255e-05
"rho.148",-0.37601552935103,6.06151580681665e-05
"rho.149",-0.470748234735189,2.72875225276094e-07
"rho.150",-0.39460766235824,2.3790467539573e-05
"rho.151",-0.435655166873516,2.44840816448247e-06
"rho.152",-0.414533589175856,8.18837568645328e-06
"rho.153",-0.397932619785611,2.00057933782875e-05
"rho.154",-0.362520394119305,0.000115449030385527
"rho.155",-0.392097271865081,2.70821967351639e-05
"rho.156",-0.435245501631748,2.50837397087125e-06
"rho.157",-0.442252682685708,1.65100870564666e-06
"rho.158",-0.466751616853291,3.54752900026713e-07
"rho.159",-0.477498184125713,1.73849258973429e-07
"rho.160",-0.391244596536285,2.82941535518148e-05
"rho.161",-0.439608912811508,1.93534344572326e-06
"rho.162",-0.44972669157331,1.04590949884902e-06
"rho.163",-0.416115087551053,7.50155361060656e-06
"rho.164",-0.277662526481481,0.00362107137527706
"rho.165",-0.457715163787783,6.34340856048071e-07
"rho.166",-0.391678079524667,2.76718064439463e-05
"rho.167",-0.310645341993118,0.00106750375787247
"rho.168",-0.469071465373534,3.04756386502972e-07
"rho.169",-0.304800466973941,0.00133940193224368
"rho.170",-0.388448393083753,3.26347209261133e-05
"rho.171",-0.430739183972301,3.26652381030016e-06
"rho.172",-0.48795417488944,8.48111727731195e-08
"rho.173",-0.409441354949695,1.08243976730909e-05
"rho.174",-0.433978397511861,2.70276731616805e-06
"rho.175",-0.437312882037879,2.2193259702387e-06
"rho.176",-0.41346655412753,8.68478862719662e-06
"rho.177",-0.481113718061781,1.36005656018589e-07
"rho.178",-0.365559538587304,0.0001001038496707
"rho.179",-0.416224649185479,7.45604178573127e-06
"rho.180",-0.366731371720733,9.47114849237672e-05
"rho.181",-0.372533374796004,7.17738626424914e-05
"rho.182",-0.368103273925723,8.87423921716797e-05
"rho.183",-0.332390944652075,0.000440423427690893
"rho.184",-0.357442450541113,0.000146052872450367
"rho.185",-0.324721630242235,0.000606377912381214
"rho.186",-0.426475807328322,4.1791858780426e-06
"rho.187",-0.388672279901928,3.22654424044164e-05
"rho.188",-0.456400424174668,6.89357608857636e-07
"rho.189",-0.428023960858258,3.82298628171506e-06
"rho.190",-0.417105905810212,7.09931863748179e-06
"rho.191",-0.409508044640215,1.07852226824048e-05
"rho.192",-0.383923021227015,4.10027779900836e-05
"rho.193",-0.49238427575972,6.21174532104786e-08
"rho.194",-0.253349370737491,0.00815567626198289
"rho.195",-0.408145669533871,1.16126076258425e-05
"rho.196",-0.463321861340816,4.43176233575545e-07
"rho.197",-0.426351955045927,4.20899652089766e-06
"rho.198",-0.359062057310893,0.000135557772066257
"rho.199",-0.342475378568617,0.000285569393910201
"rho.200",-0.396355884959737,2.17239784890412e-05
"rho.201",-0.462416786969468,4.69792738225985e-07
"rho.202",-0.452184683023917,8.97962285883685e-07
"rho.203",-0.351759536198914,0.000189140545032989
"rho.204",-0.468957140189785,3.07054500499119e-07
"rho.205",-0.439146848527188,1.98957169146744e-06
"rho.206",-0.447011468459267,1.23612699434858e-06
"rho.207",-0.343332817446736,0.000275053963556872
"rho.208",-0.320672613317785,0.000715508186194862
"rho.209",-0.356365888394141,0.000153441024674777
"rho.210",-0.365121292049599,0.000102192887930606
"rho.211",-0.472372605054292,2.45036307447734e-07
"rho.212",-0.404230031990462,1.43355513112806e-05
"rho.213",-0.430134213208295,3.38344016953497e-06
"rho.214",-0.356613592958931,0.000151711017196743
"rho.215",-0.502140024772983,3.08005217804654e-08
"rho.216",-0.417982398885623,6.76052704891312e-06
"rho.217",-0.465817961186006,3.76999522348967e-07
"rho.218",-0.41526717577158,7.86273391643645e-06
"rho.219",-0.35603243994154,0.000155798793354742
"rho.220",-0.422931726632097,5.11616080510768e-06
"rho.221",-0.494646961688089,5.28929828525495e-08
"rho.222",-0.369484703229359,8.30873065280879e-05
"rho.223",-0.300365602554338,0.00158618717105515
"rho.224",-0.388591299563439,3.23985571834906e-05
"rho.225",-0.359343106720943,0.000133809492406383
"rho.226",-0.39763251617827,2.03226600928617e-05
"rho.227",-0.417591787841146,6.90958270493261e-06
"rho.228",-0.376529992677902,5.91110049771583e-05
"rho.229",-0.380617117996935,4.83414196665318e-05
"rho.230",-0.467385168913234,3.40374413274704e-07
"rho.231",-0.403396410858957,1.49879810118717e-05
"rho.232",-0.417820438208645,6.82195889931041e-06
"rho.233",-0.445172738420634,1.38309493347238e-06
"rho.234",-0.331257219913229,0.000461984354549446
"rho.235",-0.4537423636525,8.14731395370737e-07
"rho.236",-0.355151183316806,0.000162192805894611
"rho.237",-0.431568041554483,3.11252785048574e-06
"rho.238",-0.378954639283249,5.24794839260131e-05
"rho.239",-0.446354098652709,1.28688132673037e-06
"rho.240",-0.41723452164193,7.04862199836851e-06
"rho.241",-0.51406795227748,1.26732211958121e-08
"rho.242",-0.464641364503254,4.06927909558484e-07
"rho.243",-0.383903967029723,4.10419154567802e-05
"rho.244",-0.463178954861129,4.47281312963498e-07
"rho.245",-0.348934751450445,0.000214689545468273
"rho.246",-0.47225351632122,2.46981752137469e-07
"rho.247",-0.401357611748764,1.67031457603107e-05
"rho.248",-0.482342713787084,1.25036138004768e-07
"rho.249",-0.397689678770144,2.02619437114027e-05
"rho.250",-0.432215884262395,2.99696941559651e-06
"rho.251",-0.434640530867742,2.59947460036327e-06
"rho.252",-0.447192483333536,1.22248801256157e-06
"rho.253",-0.460892451186146,5.18087114825853e-07
"rho.254",-0.397837348799154,2.01058800950526e-05
"rho.255",-0.394941110810841,2.33826109170175e-05
"rho.256",-0.342151457214661,0.000289637596704984
"rho.257",-0.359324052523651,0.000133927354938256
"rho.258",-0.367012421130783,9.34590272221945e-05
"rho.259",-0.342308654342316,0.000287656684629024
"rho.260",-0.353722118519942,0.000173080952381626
"rho.261",-0.344914315821932,0.00025659153457826
"rho.262",-0.42047373518149,5.87886679674879e-06
"rho.263",-0.343375689390642,0.000274537701928783
"rho.264",-0.341317836083156,0.000300354585720956
"rho.265",-0.484395803545246,1.08568809474302e-07
"rho.266",-0.344771409342246,0.000258211501699094
"rho.267",-0.373209798799853,6.94666069109812e-05
"rho.268",-0.364463922243041,0.000105402606155342
"rho.269",-0.363096783587374,0.000112380407723833
"rho.270",-0.344819044835475,0.000257670465336165
"rho.271",-0.379707280076264,5.05667169135516e-05
"rho.272",-0.349368234438827,0.000210571805531418
"rho.273",-0.399704660133724,1.82273068592311e-05
"rho.274",-0.51223398578817,1.45596760042846e-08
"rho.275",-0.421974253218198,5.40142911472551e-06
"rho.276",-0.393526336661945,2.51594586333635e-05
"rho.277",-0.356246799661069,0.000154279258097474
"rho.278",-0.414724131148771,8.10259298129073e-06
"rho.279",-0.295116171200522,0.00193119407475654
"rho.280",-0.355046385231703,0.000162969157166573
"rho.281",-0.425280156448278,4.47549533134731e-06
"rho.282",-0.354993986189151,0.000163358623865036
"rho.283",-0.523947553573137,5.91610619264608e-09
"rho.284",-0.376839623383889,5.82225976134687e-05
"rho.285",-0.440547332028116,1.82948747169528e-06
"rho.286",-0.317076133579009,0.00082722687915971
"rho.287",-0.373038311024229,7.00449088887364e-05
"rho.288",-0.424675185684272,4.6328737340748e-06
"rho.289",-0.391830513102999,2.74560247733537e-05
"rho.290",-0.360133855908541,0.000129002298394424
"rho.291",-0.426380536341864,4.20209936940989e-06
"rho.292",-0.332586250174313,0.000436804015193292
"rho.293",-0.433082850239159,2.84866105752895e-06
"rho.294",-0.413109287928314,8.85723800728094e-06
"rho.295",-0.34669588326869,0.000237169127596768
"rho.296",-0.459587238671676,5.63154073424926e-07
"rho.297",-0.399823748866796,1.81132734073521e-05
"rho.298",-0.398875802551542,1.90398504936032e-05
"rho.299",-0.384699479766645,3.94372982726803e-05
"rho.300",-0.451408224484287,9.4240459370184e-07
"rho.301",-0.376144145182748,6.02358067108994e-05
"rho.302",-0.366812352059222,9.434901438976e-05
"rho.303",-0.353726882069265,0.0001730435590279
"rho.304",-0.41396196325711,8.45088638899125e-06
"rho.305",-0.43072012977501,3.2701472298495e-06
"rho.306",-0.41439068269617,8.25327344929026e-06
"rho.307",-0.419401936583842,6.24397186115026e-06
"rho.308",-0.483390694638118,1.16353675226393e-07
"rho.309",-0.293429874740221,0.00205564828607358
"rho.310",-0.35264555637297,0.000181726652470742
"rho.311",-0.432344500094113,2.97451562166945e-06
"rho.312",-0.337821390880161,0.000349413337945895
"rho.313",-0.330404544584433,0.000478835354706667
"rho.314",-0.402553262628807,1.56761792796174e-05
"rho.315",-0.353241000038331,0.000176896501384019
"rho.316",-0.398437556013837,1.94830946968159e-05
"rho.317",-0.46306462967738,4.50591379573949e-07
"rho.318",-0.438275119001101,2.09581879943413e-06
"rho.319",-0.385656953180544,3.7583834069404e-05
"rho.320",-0.345800335995989,0.000246755597071476
"rho.321",-0.398628097986752,1.92892027534388e-05
"rho.322",-0.406668969243777,1.2576686662321e-05
"rho.323",-0.40125281366366,1.67961086646095e-05
"rho.324",-0.307920591780429,0.00118728759016893
"rho.325",-0.474902049744742,2.07002268018781e-07
"rho.326",-0.366688499776827,9.49039054157309e-05
"rho.327",-0.431172666960684,3.18510909271747e-06
"rho.328",-0.351764299748237,0.000189099946877395
"rho.329",-0.423760584214279,4.88075356033826e-06
"rho.330",-0.442476569503883,1.62884105196832e-06
"rho.331",-0.497295495111612,4.37555398171876e-08
"rho.332",-0.290119207960818,0.00232129528028165
"rho.333",-0.465079611040959,3.95525662284875e-07
"rho.334",-0.36647890360662,9.58498767401538e-05
"rho.335",-0.411146705607287,9.86353421196944e-06
"rho.336",-0.35370306432265,0.000173230600716032
"rho.337",-0.399380738779768,1.85408976665202e-05
"rho.338",-0.398599516690815,1.93181706137374e-05
"rho.339",-0.413004489843211,8.9084317293787e-06
"rho.340",-0.52201831609737,6.87820685858743e-09
"rho.341",-0.411165759804578,9.85326661515201e-06
"rho.342",-0.402415119698444,1.57917270800934e-05
"rho.343",-0.365778661856156,9.90742959910093e-05
"rho.344",-0.459453859290635,5.67963655932139e-07
"rho.345",-0.391211251691025,2.83425656568014e-05
"rho.346",-0.417610842038438,6.90224038933589e-06
"rho.347",-0.430119922560327,3.38624921499036e-06
"rho.348",-0.444258136950641,1.46222462822574e-06
"rho.349",-0.377173071836491,5.7279799641978e-05
"rho.350",-0.341527432253363,0.000297626112877943
"rho.351",-0.378749806662365,5.30116260017191e-05
"rho.352",-0.383284705617749,4.23330675044434e-05
"rho.353",-0.364149527987731,0.00010697061166188
"rho.354",-0.43339724449447,2.79661483922577e-06
"rho.355",-0.376253706817175,5.99144044330329e-05
"rho.356",-0.376101273238842,6.03620102732782e-05
"rho.357",-0.42318419474621,5.0433448352748e-06
"rho.358",-0.348134475164201,0.000222487949779278
"rho.359",-0.428719439059399,3.67248696033017e-06
"rho.360",-0.394560026865011,2.38492744742188e-05
"rho.361",-0.382865513277335,4.32285302287567e-05
"rho.362",-0.387571900008343,3.41188208546174e-05
"rho.363",-0.490378821494787,7.15602583238933e-08
"rho.364",-0.498157697539053,4.11215127882963e-08
"rho.365",-0.392926129447262,2.59508712312743e-05
"rho.366",-0.296588107941292,0.00182817883868067
"rho.367",-0.385971347435854,3.69932299024675e-05
"rho.368",-0.349863643568407,0.000205955396698791
"rho.369",-0.335311000387002,0.000389082269968034
"rho.370",-0.493751414415387,5.63755381655048e-08
"rho.371",-0.422798347251057,5.15502906643075e-06
"rho.372",-0.402729513953754,1.55299093955006e-05
"rho.373",-0.434745328952845,2.58347245662882e-06
"rho.374",-0.459163282781939,5.78577157316955e-07
"rho.375",-0.362739517388158,0.000114273383469154
"rho.376",-0.352212073384588,0.000185319564969724
"rho.377",-0.443767491370384,1.50642371753626e-06
"rho.378",-0.44240511626404,1.63588501488693e-06
"rho.379",-0.320844101093409,0.000710543618313673
"rho.380",-0.307434709749495,0.00120989105739668
"rho.381",-0.482442748322865,1.24181408132581e-07
"rho.382",-0.393769277677412,2.4845604905913e-05
"rho.383",-0.287499255833233,0.00255306982423497
"rho.384",-0.410584606787187,1.01709991843284e-05
"rho.385",-0.483852758922438,1.12710949198762e-07
"rho.386",-0.339498160241815,0.000325031694885282
"rho.387",-0.394431411033293,2.40087348534743e-05
"rho.388",-0.398123161758527,1.98070212196389e-05
"rho.389",-0.509690250449751,1.76259711621425e-08
"rho.390",-0.299665360803874,0.00162872230626526
"rho.391",-0.381431684931147,4.64271057913277e-05
"rho.392",-0.459010849203607,5.84219983454932e-07
"rho.393",-0.382822641333429,4.33211031480004e-05
"rho.394",-0.426975980007224,4.06081349358911e-06
"rho.395",-0.366507484902557,9.5720365910844e-05
"rho.396",-0.360562575347601,0.000126463546129024
"rho.397",-0.368979767001133,8.5114229056432e-05
"rho.398",-0.399371211681122,1.85501971600005e-05
"rho.399",-0.386414357522882,3.61757432138256e-05
"rho.400",-0.43483583638998,2.56972746170219e-06
"rho.401",-0.300208405426683,0.00159564715144892
"rho.402",-0.426042324339939,4.28440419739948e-06
"rho.403",-0.33444879795956,0.000403636678152752
"rho.404",-0.399742768528307,1.81907430180201e-05
"rho.405",-0.469314406389001,2.99927123537712e-07
"rho.406",-0.380683807687455,4.81819622505311e-05
"rho.407",-0.380474211517248,4.86847760999362e-05
"rho.408",-0.477131390827851,1.78205271332288e-07
"rho.409",-0.448240464184571,1.14628764347046e-06
"rho.410",-0.344933370019224,0.000256376250137635
"rho.411",-0.384447011652532,3.99400778388304e-05
"rho.412",-0.371009039012681,7.72377576859494e-05
"rho.413",-0.370885186730286,7.76983132575175e-05
"rho.414",-0.326860463888209,0.000555106910105758
"rho.415",-0.374896095260153,6.40123554658828e-05
"rho.416",-0.441828726795971,1.69377102922131e-06
"rho.417",-0.414928963769655,8.01132127129735e-06
"rho.418",-0.392283050288673,2.68246759854621e-05
"rho.419",-0.468623691737184,3.1385190219761e-07
"rho.420",-0.355184528162066,0.000161946505265116
"rho.421",-0.381274487803492,4.67909261366816e-05
"rho.422",-0.364482976440333,0.000105308266042387
"rho.423",-0.420907218169872,5.73700125557091e-06
"rho.424",-0.46658489262699,3.58631672144589e-07
"rho.425",-0.401905419920895,1.62250188631128e-05
"rho.426",-0.402910528828023,1.538102180971e-05
"rho.427",-0.304043062631603,0.0013789055450316
"rho.428",-0.433325791254626,2.80836394558453e-06
"rho.429",-0.423617677734592,4.92059771320169e-06
"rho.430",-0.474235152839539,2.16444411134275e-07
"rho.431",-0.472839432887934,2.37549943642994e-07
"rho.432",-0.479208298332628,1.54845098339384e-07
"rho.433",-0.504307439714894,2.62767522077759e-08
"rho.434",-0.359543175792504,0.000132577738182325
"rho.435",-0.39186385794826,2.74090332136739e-05
"rho.436",-0.356642174254868,0.000151512569842467
"rho.437",-0.395293613460735,2.29585844959924e-05
"rho.438",-0.318371818994833,0.000785260447872757
"rho.439",-0.350387633993924,0.000201174752004709
"rho.440",-0.398732896071856,1.91833357563026e-05
"rho.441",-0.373062128770843,6.99643215908851e-05
"rho.442",-0.401495754679127,1.6581342077736e-05
"rho.443",-0.344085458239751,0.000266119747560948
"rho.444",-0.380645699292872,4.82730204863396e-05
"rho.445",-0.42673780254108,4.11678072501932e-06
"rho.446",-0.346376725464057,0.00024054536251916
"rho.447",-0.354389015425145,0.0001679181429525
"rho.448",-0.38027890599501,4.91577162618634e-05
"rho.449",-0.473225280383088,2.31527136508029e-07
"rho.450",-0.39284038555945,2.60658168532622e-05
"rho.451",-0.428848054891117,3.64527555433839e-06
"rho.452",-0.388353122097295,3.27930578981676e-05
"rho.453",-0.356075311885445,0.000155493780031394
"rho.454",-0.40245799164235,1.57557820592168e-05
"rho.455",-0.449593312192269,1.05456544715541e-06
"rho.456",-0.352188255637974,0.000185518872608312
"rho.457",-0.410732276816196,1.00893622101819e-05
"rho.458",-0.371061438055233,7.70436741887222e-05
"rho.459",-0.405354229630662,1.34978997964673e-05
"rho.460",-0.339126603394631,0.000330294972667591
"rho.461",-0.262881232932578,0.00598371349935048
"rho.462",-0.391382739466648,2.80944133858975e-05
"rho.463",-0.454009122414581,8.0123346730164e-07
"rho.464",-0.416329447270583,7.41275235089062e-06
"rho.465",-0.29225327805747,0.00214673316346355
"rho.466",-0.348696573984301,0.000216983640551309
"rho.467",-0.450360243633253,1.0057061057468e-06
"rho.468",-0.401571971468293,1.6514497708263e-05
"rho.469",-0.424789510868021,4.6027381448059e-06
"rho.470",-0.418916054552908,6.41643786435986e-06
"rho.471",-0.383375213054883,4.2142019638429e-05
"rho.472",-0.414128687483411,8.37351309172371e-06
"rho.473",-0.393169070462729,2.5627767078328e-05
"rho.474",-0.388762787339063,3.21172732119828e-05
"rho.475",-0.395217396671569,2.30496500983038e-05
"rho.476",-0.336211311209027,0.000374401735085451
"rho.477",-0.338140548684794,0.000344646414695962
"rho.478",-0.436912743894757,2.27268684665484e-06
"rho.479",-0.403363066013697,1.50146498375927e-05
"rho.480",-0.377053983103419,5.76148648769372e-05
"rho.481",-0.410198759292033,1.03872534499734e-05
"rho.482",-0.402410356149121,1.5795725723962e-05
"rho.483",-0.397337176120251,2.06390909759605e-05
"rho.484",-0.460473258845732,5.32173560546725e-07
"rho.485",-0.37432923289073,6.57996139793235e-05
"rho.486",-0.438518060016568,2.06568120444955e-06
"rho.487",-0.424818092163959,4.59523321825528e-06
"rho.488",-0.375315287600567,6.27199289846128e-05
"rho.489",-0.404701623373427,1.39783829533569e-05
"rho.490",-0.535313382257534,2.388282270817e-09
"rho.491",-0.33638279898465,0.000371663984021187
"rho.492",-0.396151052338854,2.19570842726377e-05
"rho.493",-0.452594348265685,8.75323112147777e-07
"rho.494",-0.380131235966001,4.95181513073559e-05
"rho.495",-0.356589775212317,0.00015187657419533
"rho.496",-0.404534899147126,1.41036876317722e-05
"rho.497",-0.371013802562004,7.72200949212615e-05
"rho.498",-0.376958712116961,5.78842335168518e-05
"rho.499",-0.363277798461643,0.000111432467274973
"rho.500",-0.36788415065687,8.96716683547633e-05
